IdLink,channel_name,active,LinkID,SrcDetectorId,SrcLatitude,SrcLongitude,DestDetectorId,DestLatitude,DestLongitude,LinkName,RouteDirectionName,SrcChannelId,DestChannelId,LineDistance_m,last_poll_time,LinkId,node_index
220,Aylmer-Ste-Catherine **,1,LSC_66-69,66,"45,5042833333333","-73,5687333333333",69,"45,5063","-73,5669333333333",St-Catherine: Aylmer a Bleury **,E,79,83,265,2019-07-02 18:45:01,LSC_66-69,166
221,René-Lévesque-St-Hubert **,1,LSH_81-93,81,"45,5144","-73,55665",93,"45,5154333333333","-73,5588833333333",St-Hubert: René-Lévesque a Ste-Catherine **,N,95,107,208,2019-07-02 18:44:59,LSH_81-93,188
222,Ste-Catherine-St-Hubert **,1,LSH_93-81,93,"45,5154333333333","-73,5588833333333",81,"45,5144","-73,55665",St-Hubert: Ste-Catherine a René-Lévesque **,S,107,95,208,2019-07-02 18:45:02,LSH_93-81,191
223,Ste-Catherine-St-Hubert **,1,LSH_93-90,93,"45,5154333333333","-73,5588833333333",90,"45,5178833333333","-73,5642666666667",Ste-Hubert: St-Catherine a Ontario **,N,107,104,501,2019-07-02 18:45:02,LSH_93-90,192
224,Ontario-St-Hubert **,1,LSH_90-93,90,"45,5178833333333","-73,5642666666667",93,"45,5154333333333","-73,5588833333333",St-Hubert: Ontario a St-Catherine **,S,104,107,501,2019-07-02 18:45:00,LSH_90-93,189
225,Maisonneuve-Berri **,1,LBe_85-86,85,"45,5153166666667","-73,5610833333333",86,"45,5170333333333","-73,5647166666667",Berri: Maisonneuve a Ontario **,N,99,100,341,2019-07-02 18:44:42,LBe_85-86,3
226,Ontario-Berri **,1,LBe_86-85,86,"45,5170333333333","-73,5647166666667",85,"45,5153166666667","-73,5610833333333",Berri: Ontario a Maisonneuve **,S,100,99,341,2019-07-02 18:44:58,LBe_86-85,4
227,Maisonneuve-Sanguinet **,1,LSa_88-94,88,"45,51345","-73,56275",94,"45,5127833333333","-73,56125",Sanguinet: Maisonneuve a Ste-Catherine **,S,102,108,139,2019-07-02 18:44:57,LSa_88-94,216
228,Ste-Catherine-Sanguinet **,1,LSa_94-84,94,"45,5127833333333","-73,56125",84,"45,5117333333333","-73,5590666666667",Sanguinet: Ste-Catherine a René-Levesque **,S,108,98,206,2019-07-02 18:45:00,LSa_94-84,218
229,Maisonneuve-Sanguinet **,1,LSa_88-91,88,"45,51345","-73,56275",91,"45,5147666666667","-73,5656166666667",Sanguinet: Maisonneuve a Ontario **,N,102,105,267,2019-07-02 18:44:57,LSa_88-91,215
230,Ontario-Sanguinet **,1,LSa_91-95,91,"45,5147666666667","-73,5656166666667",95,"45,5158333333333","-73,5679666666667",Sanguinet: Ontario a Sherbrooke **,N,105,109,218,2019-07-02 18:45:01,LSa_91-95,217
231,René-Lévesque-St-Laurent **,1,LSL_82-76,82,"45,50885","-73,5615666666667",76,"45,5098666666667","-73,5638",St-Laurent: René-Lévesque a Ste-Catherine **,N,96,90,208,2019-07-02 18:44:57,LSL_82-76,203
232,Ste-Catherine-St-Laurent **,1,LSL_76-73,76,"45,5098666666667","-73,5638",73,"45,5106","-73,5653166666667",St-Laurent: Ste-Catherine a Maisonneuve **,N,90,87,144,2019-07-02 18:44:59,LSL_76-73,202
233,Maisonneuve-St-Laurent **,1,LSL_73-75,73,"45,5106","-73,5653166666667",75,"45,5112833333333","-73,5667833333333",St-Laurent: Maisonneuve a Ontario **,N,87,89,137,2019-07-02 18:45:01,LSL_73-75,200
234,Ontario-St-Laurent **,1,LSL_75-78,75,"45,5112833333333","-73,5667833333333",78,"45,5125166666667","-73,5694333333333",St-Laurent: Ontario a Sherbrooke **,N,89,92,248,2019-07-02 18:44:59,LSL_75-78,201
235,Sherbrooke-St-Urbain **,1,LSU_79-74,79,"45,5110833333333","-73,57005",74,"45,5099166666667","-73,56745",St-Urbain: Sherbrooke a Président-Kennedy **,S,93,88,240,2019-07-02 18:45:01,LSU_79-74,214
236,Président-Kennedy-St-Urbain-Ontario **,1,LSU_74-77,74,"45,5099166666667","-73,56745",77,"45,5086833333333","-73,5648166666667",St-Urbain: Président-Kennedy a Ste-Catherine **,S,88,91,247,2019-07-02 18:44:41,LSU_74-77,212
237,Ste-Catherine-St-Urbain **,1,LSU_77-83,77,"45,5086833333333","-73,5648166666667",83,"45,5077166666667","-73,5625833333333",St-Urbain: St-Catherine a René-Lévesque **,S,91,97,205,2019-07-02 18:45:00,LSU_77-83,213
